sample_id,sample_date,temp_daily_mean
Q1,1986-10-21T00:00:00Z,24
Q1,1986-10-28T00:00:00Z,23
Q1,1986-11-04T00:00:00Z,23
Q1,1986-11-10T00:00:00Z,22
Q1,1986-11-18T00:00:00Z,22
Q1,1986-11-25T00:00:00Z,22
Q1,1986-12-02T00:00:00Z,22
Q1,1986-12-09T00:00:00Z,22
Q1,1986-12-16T00:00:00Z,22
Q1,1986-12-23T00:00:00Z,22
Q1,1986-12-30T00:00:00Z,22
Q1,1987-01-05T00:00:00Z,22
Q1,1987-01-13T00:00:00Z,22
Q1,1987-01-20T00:00:00Z,22
Q1,1987-01-27T00:00:00Z,21
Q1,1987-02-03T00:00:00Z,22
Q1,1987-02-10T00:00:00Z,22
Q1,1987-02-17T00:00:00Z,22
Q1,1987-02-24T00:00:00Z,22
Q1,1987-03-03T00:00:00Z,21
Q1,1987-03-10T00:00:00Z,22
Q1,1987-03-18T00:00:00Z,21.5
Q1,1987-03-24T00:00:00Z,22
Q1,1987-03-31T00:00:00Z,22
Q1,1987-04-07T00:00:00Z,22
Q1,1987-04-14T00:00:00Z,22
Q1,1987-04-21T00:00:00Z,23
Q1,1987-04-28T00:00:00Z,23
Q1,1987-05-05T00:00:00Z,23
Q1,1987-05-12T00:00:00Z,23
Q1,1987-05-19T00:00:00Z,23
Q1,1987-05-26T00:00:00Z,23
Q1,1987-06-02T00:00:00Z,23
Q1,1987-06-09T00:00:00Z,23
Q1,1987-06-16T00:00:00Z,23
Q1,1987-06-23T00:00:00Z,23
Q1,1987-06-30T00:00:00Z,23
Q1,1987-07-07T00:00:00Z,23
Q1,1987-07-14T00:00:00Z,23
Q1,1987-07-21T00:00:00Z,23
Q1,1987-07-28T00:00:00Z,23
Q1,1987-08-04T00:00:00Z,23
Q1,1987-08-11T00:00:00Z,23
Q1,1987-08-18T00:00:00Z,23
Q1,1987-08-25T00:00:00Z,23
Q1,1987-09-01T00:00:00Z,23
Q1,1987-09-08T00:00:00Z,23
Q1,1987-09-15T00:00:00Z,23
Q1,1987-09-22T00:00:00Z,23
Q1,1987-09-29T00:00:00Z,23
Q1,1987-10-06T00:00:00Z,23.5
Q1,1987-10-13T00:00:00Z,24
Q1,1990-05-22T00:00:00Z,24
Q1,1990-05-29T00:00:00Z,24
Q1,1990-06-05T00:00:00Z,24
Q1,1990-06-12T00:00:00Z,24
Q1,1990-06-19T00:00:00Z,24
Q1,1990-06-26T00:00:00Z,24
Q1,1990-07-10T00:00:00Z,23
Q1,1990-07-24T00:00:00Z,24
Q1,1990-07-31T00:00:00Z,24
Q1,1990-08-14T00:00:00Z,24
Q1,1990-08-21T00:00:00Z,24
Q1,1990-09-25T00:00:00Z,24
Q1,1990-10-02T00:00:00Z,24
Q1,1990-10-09T00:00:00Z,24
Q1,1990-11-13T00:00:00Z,25
Q1,1990-12-14T00:00:00Z,22
Q1,1991-01-15T00:00:00Z,23
Q1,1991-01-22T00:00:00Z,22
Q1,1991-01-29T00:00:00Z,22
Q1,1991-02-05T00:00:00Z,22
Q1,1991-02-12T00:00:00Z,22
Q1,1991-02-19T00:00:00Z,22
Q1,1991-02-26T00:00:00Z,22
Q1,1991-03-05T00:00:00Z,23
Q1,1991-03-12T00:00:00Z,22
Q1,1991-03-19T00:00:00Z,22
Q1,1991-05-07T00:00:00Z,23
Q1,1991-05-14T00:00:00Z,24
Q1,1991-05-21T00:00:00Z,24
Q1,1991-05-28T00:00:00Z,24
Q1,1991-06-04T00:00:00Z,24
Q1,1991-06-11T00:00:00Z,24
Q1,1991-06-18T00:00:00Z,25
Q1,1991-06-25T00:00:00Z,24
Q1,1991-07-23T00:00:00Z,23
Q1,1991-07-30T00:00:00Z,24
Q1,1991-08-06T00:00:00Z,24
Q1,1991-08-13T00:00:00Z,24
Q1,1991-08-20T00:00:00Z,24
Q1,1991-09-17T00:00:00Z,23
Q1,1991-09-24T00:00:00Z,24
Q1,1992-01-28T00:00:00Z,22.2
Q1,1992-02-04T00:00:00Z,22.2
Q1,1992-02-11T00:00:00Z,22.2
Q1,1992-02-18T00:00:00Z,22.2
Q1,1992-02-25T00:00:00Z,22.2
