sample_id,sample_date,k_daily_mean,no3_daily_mean
Q1,1986-05-27T00:00:00Z,0.82,109
Q1,1986-06-03T00:00:00Z,0.82,114
Q1,1986-10-21T00:00:00Z,0.65,124
Q1,1986-10-28T00:00:00Z,0.62,NA
Q1,1986-11-04T00:00:00Z,0.64,NA
Q1,1986-11-10T00:00:00Z,0.69,103
Q1,1986-11-18T00:00:00Z,0.68,153
Q1,1986-11-25T00:00:00Z,0.77,264
Q1,1986-12-02T00:00:00Z,0.66,158
Q1,1986-12-09T00:00:00Z,0.67,106
Q1,1986-12-16T00:00:00Z,0.62,146
Q1,1986-12-23T00:00:00Z,0.61,149
Q1,1986-12-30T00:00:00Z,0.62,113
Q1,1987-01-05T00:00:00Z,0.73,132
Q1,1987-01-13T00:00:00Z,0.66,151
Q1,1987-01-20T00:00:00Z,0.73,170
Q1,1987-01-27T00:00:00Z,0.65,137
Q1,1987-02-03T00:00:00Z,0.69,98
Q1,1987-02-10T00:00:00Z,0.67,137
Q1,1987-02-17T00:00:00Z,0.69,127
Q1,1987-02-24T00:00:00Z,0.67,118
Q1,1987-03-03T00:00:00Z,0.68,144
Q1,1987-03-10T00:00:00Z,0.71,137
Q1,1987-03-18T00:00:00Z,0.92,152
Q1,1987-03-24T00:00:00Z,0.84,140
Q1,1987-03-31T00:00:00Z,0.83,135
Q1,1987-04-07T00:00:00Z,0.85,123
Q1,1987-04-14T00:00:00Z,0.87,192
Q1,1987-04-21T00:00:00Z,0.83,140
Q1,1987-04-28T00:00:00Z,0.83,138
Q1,1987-05-05T00:00:00Z,0.84,130
Q1,1987-05-12T00:00:00Z,0.89,124
Q1,1987-05-19T00:00:00Z,0.79,178
Q1,1987-05-26T00:00:00Z,0.89,158
Q1,1987-06-02T00:00:00Z,0.76,140
Q1,1987-06-09T00:00:00Z,0.79,146
Q1,1987-06-16T00:00:00Z,0.8,160
Q1,1987-06-23T00:00:00Z,0.79,190
Q1,1987-06-30T00:00:00Z,0.86,145
Q1,1987-07-07T00:00:00Z,0.68,142
Q1,1987-07-14T00:00:00Z,0.79,170
Q1,1987-07-21T00:00:00Z,0.93,178
Q1,1987-07-28T00:00:00Z,0.87,148
Q1,1987-08-04T00:00:00Z,0.87,151
Q1,1987-08-11T00:00:00Z,0.86,133
Q1,1987-08-18T00:00:00Z,0.93,140
Q1,1987-08-25T00:00:00Z,0.9,166
Q1,1987-09-01T00:00:00Z,0.84,142
Q1,1987-09-08T00:00:00Z,NA,145
Q1,1987-09-15T00:00:00Z,0.82,142
Q1,1987-09-22T00:00:00Z,0.8,158
Q1,1987-09-29T00:00:00Z,0.24,133
Q1,1987-10-05T00:00:00Z,0.745,265
Q1,1987-10-06T00:00:00Z,0.77,NA
Q1,1987-10-13T00:00:00Z,0.77,144
Q1,1987-10-22T00:00:00Z,0.71,136
Q1,1987-10-29T00:00:00Z,0.74,136
Q1,1987-11-05T00:00:00Z,0.77,165
Q1,1987-11-12T00:00:00Z,0.7,133
Q1,1987-11-24T00:00:00Z,0.8,182
Q1,1987-11-25T00:00:00Z,0.75,168
Q1,1987-12-01T00:00:00Z,0.73,210
Q1,1987-12-07T00:00:00Z,0.63,200
Q1,1987-12-08T00:00:00Z,0.63,159
Q1,1987-12-15T00:00:00Z,0.77,182
Q1,1987-12-22T00:00:00Z,0.78,163
Q1,1987-12-29T00:00:00Z,0.76,163
Q1,1988-01-05T00:00:00Z,0.76,132
Q1,1988-01-12T00:00:00Z,0.77,134
Q1,1988-01-19T00:00:00Z,0.75,125
Q1,1988-01-26T00:00:00Z,0.74,123
Q1,1988-01-29T00:00:00Z,0.86,189.6
Q1,1988-02-02T00:00:00Z,0.775,153
Q1,1988-02-03T00:00:00Z,NA,NA
Q1,1988-02-04T00:00:00Z,NA,NA
Q1,1988-02-09T00:00:00Z,0.8,149
Q1,1988-02-10T00:00:00Z,NA,NA
Q1,1988-02-16T00:00:00Z,0.77,113
Q1,1988-02-23T00:00:00Z,0.85,152
Q1,1988-03-01T00:00:00Z,0.81,144
Q1,1988-03-08T00:00:00Z,0.5,144
Q1,1988-03-15T00:00:00Z,0.7,148
Q1,1988-03-23T00:00:00Z,0.73,144
Q1,1988-03-29T00:00:00Z,1.055,272.75
Q1,1988-04-05T00:00:00Z,0.82,135
Q1,1988-04-12T00:00:00Z,0.71,141
Q1,1988-04-19T00:00:00Z,0.85,150
Q1,1988-04-26T00:00:00Z,0.74,142
Q1,1988-05-03T00:00:00Z,0.75,139
Q1,1988-05-10T00:00:00Z,NA,NA
Q1,1988-05-17T00:00:00Z,NA,148
Q1,1988-05-24T00:00:00Z,0.75,149
Q1,1988-05-31T00:00:00Z,0.9,156
Q1,1988-06-07T00:00:00Z,0.8,147
Q1,1988-06-14T00:00:00Z,0.79,NA
Q1,1988-06-21T00:00:00Z,0.81,NA
Q1,1988-06-28T00:00:00Z,0.71,NA
Q1,1988-07-05T00:00:00Z,0.78,NA
Q1,1988-07-12T00:00:00Z,0.2,NA
Q1,1988-07-19T00:00:00Z,0.73,NA
Q1,1988-07-22T00:00:00Z,0.82,NA
Q1,1988-07-26T00:00:00Z,NA,NA
Q1,1988-08-02T00:00:00Z,0.73,NA
Q1,1988-08-09T00:00:00Z,0.81,NA
Q1,1988-08-16T00:00:00Z,0.84,NA
Q1,1988-08-23T00:00:00Z,0.87,135.4
Q1,1988-08-24T00:00:00Z,NA,NA
Q1,1988-08-30T00:00:00Z,0.78,149.83
Q1,1988-09-06T00:00:00Z,0.69,119.56
Q1,1988-09-13T00:00:00Z,0.79,191.96
Q1,1988-09-20T00:00:00Z,0.75,149.57
Q1,1988-09-27T00:00:00Z,0.71,149.32
Q1,1988-10-04T00:00:00Z,0.73,42.59
Q1,1988-10-11T00:00:00Z,0.75,150.55
Q1,1988-10-18T00:00:00Z,NA,153.93
Q1,1988-10-25T00:00:00Z,0.88,146.09
Q1,1988-11-01T00:00:00Z,0.86,142.75
Q1,1988-11-07T00:00:00Z,0.87,136.59
Q1,1988-11-15T00:00:00Z,0.99,130.35
Q1,1988-11-22T00:00:00Z,0.86,139.48
Q1,1988-11-29T00:00:00Z,0.82,138.77
Q1,1988-12-06T00:00:00Z,0.82,139.27
Q1,1988-12-13T00:00:00Z,1.05,148.71
Q1,1988-12-20T00:00:00Z,0.93,155.71
Q1,1988-12-27T00:00:00Z,0.93,156.07
Q1,1989-01-03T00:00:00Z,0.23,NA
Q1,1989-01-10T00:00:00Z,0.97,221.43
Q1,1989-01-17T00:00:00Z,0.99,10
Q1,1989-01-24T00:00:00Z,0.96,155.14
Q1,1989-01-31T00:00:00Z,0.99,170.84
Q1,1989-02-07T00:00:00Z,0.95,175.81
Q1,1989-02-14T00:00:00Z,0.78,179.48
Q1,1989-02-21T00:00:00Z,0.85,158.78
Q1,1989-02-28T00:00:00Z,0.94,158.79
