Code,Sample_ID,Sample_Date,Sample_Time,Gage_Ht,Temp,pH,Cond
100010001,QS,1/6/1983,-9999,3.9,-9999,7.15,37.8
100020001,QT,5/24/1983,-9999,-9999,-9999,7.64,80.8
100030001,RI,5/24/1983,-9999,1.04,-9999,6.67,37.5
100010002,QS,6/3/1983,-9999,2.54,-9999,7.63,52.8
100020002,QT,6/3/1983,-9999,1.22,-9999,7.99,114.9
100030002,RI,6/3/1983,-9999,1.04,-9999,7.01,65.7
100010003,QS,6/8/1983,-9999,2.66,-9999,7.51,48.8
100020003,QT,6/8/1983,-9999,1.23,-9999,8.02,118
100030003,RI,6/8/1983,-9999,1.05,-9999,6.93,63.2
100010004,QS,6/13/1983,923,2.55,21,7.66,55.1
100020004,QT,6/13/1983,-9999,1.27,22,7.96,113.8
100030004,RI,6/13/1983,-9999,-9999,20.9,7.01,56.8
100010005,QS,6/16/1983,915,4.5,21.7,6.96,34.2
100020005,QT,6/16/1983,-9999,1.38,22.9,7.45,64.8
100030005,RI,6/16/1983,-9999,2.1,21,6.12,26
100010006,QS,6/20/1983,1127,2.74,21,7.54,47
100020006,QT,6/20/1983,-9999,1.28,22,7.57,89.5
100030006,RI,6/20/1983,-9999,1.08,20,6.72,59.9
100010007,QS,6/27/1983,1220,2.94,22,7.84,58
100020007,QT,6/27/1983,-9999,1.27,23,7.84,100
100030007,RI,6/27/1983,-9999,1.17,22,7.05,60
100010008,QS,7/5/1983,1235,4.08,21,8.17,36.8
100020008,QT,7/5/1983,-9999,1.38,21.5,7.83,72.2
100030008,RI,7/5/1983,-9999,1.26,20.5,7.12,43
100010009,QS,7/11/1983,915,2.76,21,7.93,48.2
100020009,QT,7/11/1983,-9999,1.3,22,7.7,86
100030009,RI,7/11/1983,-9999,1.1,21,7.03,52.1
100010010,QS,7/21/1983,1020,2.72,-9999,8.04,55
100020010,QT,7/21/1983,-9999,1.26,-9999,7.6,107
100030010,RI,7/21/1983,-9999,1.08,-9999,7.14,61
100010011,QS,7/26/1983,905,2.59,21.9,8,55
100020011,QT,7/26/1983,-9999,1.25,22.7,7.9,112
100030011,RI,7/26/1983,-9999,1.06,21,7.16,63.5
100010012,QS,8/1/1983,945,3.39,21,8.23,49.9
100020012,QT,8/1/1983,-9999,1.28,22,7.65,105.8
100030012,RI,8/1/1983,-9999,1.4,21,7.02,50
100010013,QS,8/8/1983,910,2.6,21,8.05,48
100020013,QT,8/8/1983,-9999,1.28,21,7.98,106
100030013,RI,8/8/1983,-9999,1.06,21,7.2,60
100010014,QS,8/15/1983,855,2.52,21.8,8.39,59.2
100020014,QT,8/15/1983,-9999,1.24,22,7.9,112
100030014,RI,8/15/1983,-9999,1.06,21,7.37,63
100010015,QS,8/18/1983,930,3,21.5,7.44,45
100020015,QT,8/18/1983,-9999,1.27,22,-9999,90
100030015,RI,8/18/1983,-9999,1.12,21,6.97,50.5
100010016,QS,8/22/1983,920,4.05,21.2,7.71,40.5
100020016,QT,8/22/1983,-9999,1.39,22.5,7.94,90
100030016,RI,8/22/1983,-9999,1.2,22,6.95,47.9
100010017,QS,8/29/1983,910,3.6,21,8.04,40
100020017,QT,8/29/1983,-9999,1.33,21.9,7.74,84
100030017,RI,8/29/1983,-9999,2.24,21,7.05,42.5
100010018,QS,9/6/1983,855,2.63,21.2,7.97,56
100020018,QT,9/6/1983,-9999,1.27,22,7.74,104
100030018,RI,9/6/1983,-9999,1.1,21,7.14,62
100010019,QS,9/12/1983,850,2.9,21.9,7.83,57
100020019,QT,9/12/1983,-9999,1.26,22.2,7.74,110
