Sample_ID,Code,Sample_Date,Sample_Time,Gage_Ht,Temp,pH,Cond,Cl,NO3,SO4-S,Na,K,Mg,Ca,NH4-N,PO4-P,DOC,DIC,TDN,TDP,SiO2,DON,TSS
Q3,100014001,5/20/1986,-9999,-9999,-9999,7.44,85.1,8.3,116,0.66,7.07,0.71,3.18,3.86,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
Q3,100014002,5/27/1986,-9999,-9999,-9999,7.53,81.1,-9999,124,0.73,7.45,0.71,3.66,3.97,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
Q3,100014003,6/3/1986,-9999,-9999,-9999,7.49,80.3,-9999,119,-9999,7.19,0.69,3.46,4.03,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
Q3,100014004,10/21/1986,1250,-9999,23.5,7.11,78.5,6.9,195,-9999,6.44,0.5,2.48,3.52,9.9,-9999,0.41,5.73,-9999,-9999,25.3,-9999,3.55
Q3,100014005,10/28/1986,1145,-9999,23,7.42,80.3,7.9,-9999,-9999,7.3,0.59,2.81,3.88,36.4,-9999,0.96,6.78,-9999,-9999,27.5,-9999,2.12
Q3,100014006,11/4/1986,1050,-9999,23,7.46,79.4,8.2,99,-9999,7.86,0.61,2.99,3.84,23.9,-9999,0.48,4.64,-9999,-9999,28.7,-9999,4.2
Q3,100014007,11/10/1986,1013,-9999,22,7.11,60.9,7.1,182,-9999,5.97,0.54,2.17,3.03,25,-9999,2.1,4.57,-9999,-9999,20.5,-9999,14.2
Q3,100014008,11/18/1986,840,-9999,22,7.56,74,8.1,170,-9999,7.03,0.59,2.58,3.76,27.7,-9999,0.5,7.99,-9999,-9999,26.5,-9999,6.3
Q3,100014009,11/25/1986,852,-9999,21.5,7.27,50.3,6.9,262,-9999,4.73,0.63,1.56,2.47,-9999,-9999,3.59,3.28,-9999,-9999,13.8,-9999,174.7
Q3,100014010,12/2/1986,937,-9999,22,7.49,70.6,7.4,166,-9999,6.74,0.56,2.46,3.14,11.3,-9999,1.05,6.48,-9999,-9999,23.8,-9999,8.2
Q3,100014011,12/9/1986,843,-9999,22,7.59,81.7,8.3,156,0.79,7.82,0.59,2.88,3.4,11,-9999,0.29,7.84,-9999,-9999,28.1,-9999,5.65
Q3,100014012,12/16/1986,837,-9999,21,7.5,78.5,8.1,172,0.84,7.78,0.55,2.73,3.39,8.3,-9999,-9999,5.97,-9999,-9999,26.2,-9999,6.2
Q3,100014013,12/23/1986,806,-9999,21,7.49,84,8.2,157,0.7,7.96,0.53,3.02,3.75,19.2,-9999,0.05,8.61,-9999,-9999,28.7,-9999,6
Q3,100014014,12/30/1986,846,-9999,21,7.39,81.2,8.3,185,0.8,7.84,0.53,2.88,3.45,22.2,-9999,0.05,-9999,-9999,-9999,27.9,-9999,6.15
Q3,100014015,1/5/1987,926,-9999,21,7.44,79.1,8.6,220,-9999,7.43,0.55,2.85,3.8,19.6,-9999,0.68,7.8,-9999,-9999,27,-9999,26.5
Q3,100014016,1/13/1987,906,-9999,21,7.5,86.2,8.6,211,-9999,8.4,0.53,3.2,3.8,20.4,-9999,0.17,9.21,-9999,-9999,29.7,-9999,4.35
Q3,100014017,1/20/1987,852,-9999,21,7.35,87.4,-9999,252,0.86,8.03,0.57,3.07,3.96,24.9,-9999,1.2,8.64,-9999,-9999,28.1,-9999,7.22
Q3,100014018,1/27/1987,850,-9999,21,7.62,87.4,8.6,228,-9999,8.55,0.57,3.36,3.82,21.3,-9999,0.45,9.17,-9999,-9999,29.8,-9999,4.95
Q3,100014019,2/3/1987,825,-9999,21,7.59,85.3,8.3,192,0.89,8.09,0.58,3.01,4.17,21.6,-9999,0.46,8.23,-9999,-9999,27.9,-9999,3.77
Q3,100014020,2/10/1987,841,-9999,21,7.55,88.5,8.3,200,0.88,8.22,0.6,3.14,3.81,27.2,-9999,0.76,10.29,-9999,-9999,29.2,-9999,3.9
Q3,100014021,2/17/1987,950,-9999,21,7.49,78.9,8.2,183,-9999,8.01,0.61,3.18,2.96,8,-9999,2.91,6.23,-9999,-9999,28.3,-9999,4.3
Q3,100014022,2/24/1987,919,-9999,21,7.4,82.4,8.5,184,-9999,8.06,0.61,3.2,3.75,2.5,-9999,0.18,6.58,-9999,-9999,29.7,-9999,4.1
Q3,100014023,3/3/1987,1005,-9999,22,7.47,84.8,8.7,226,0.59,8,0.61,3.3,3.97,8.1,-9999,0.63,6.37,-9999,-9999,29.4,-9999,4.4
Q3,100014024,3/10/1987,922,-9999,21,7.41,85.5,8.5,233,-9999,8.05,0.63,3.26,4.07,2.5,-9999,1.34,8.34,-9999,-9999,29.3,-9999,7.2
Q3,100014026,3/18/1987,935,-9999,20,7.51,67.6,7.6,156,-9999,6.17,0.67,2.17,3.07,6.9,-9999,1.2,-9999,-9999,-9999,23.9,-9999,6.05
Q3,100014025,3/24/1987,1134,-9999,22,7.49,82,8.4,142,-9999,7.68,0.72,2.81,3.92,9,-9999,0.97,9.93,-9999,-9999,19.4,-9999,3.4
Q3,100014027,3/31/1987,1019,-9999,21,7.51,84,8.8,159,-9999,7.93,0.71,3.02,3.78,7.5,-9999,0.58,8.85,-9999,-9999,31.2,-9999,2.1
Q3,100014028,4/7/1987,939,-9999,22,7.6,87,8.8,176,-9999,8.06,0.73,3.24,4.13,11,-9999,0.68,9.49,-9999,-9999,31.6,-9999,3.4
Q3,100014029,4/14/1987,1019,-9999,22,7.35,53.3,7.4,175,-9999,5.06,0.63,1.73,2.55,19.6,-9999,0.59,3.58,-9999,-9999,14.6,-9999,11.13
Q3,100014030,4/21/1987,1050,-9999,23,7.47,83.6,8.8,176,-9999,7.72,0.75,2.85,3.86,6.7,-9999,0.95,9.44,-9999,-9999,30.1,-9999,3.36
Q3,100014031,4/28/1987,1000,4.44,23,7.47,89.6,8.8,202,-9999,8.02,0.73,2.26,3.98,6.3,-9999,0.95,9.83,-9999,-9999,31.6,-9999,3.3
Q3,100014032,5/5/1987,1000,4.42,23,7.48,87.6,8.8,187,0.58,8.11,0.75,3.07,4.18,8.2,-9999,0.69,8.99,-9999,-9999,31.6,-9999,3.33
Q3,100014033,5/12/1987,1021,4.54,22,7.32,61.4,7.4,260,0.6,5.74,0.68,2.07,2.98,109,-9999,3.11,3.69,-9999,-9999,19.8,-9999,10.6
Q3,100014034,5/19/1987,1026,4.6,22,7.31,52.8,6.3,166,-9999,5.18,0.62,1.78,2.44,131,-9999,2.04,3.34,-9999,-9999,18,-9999,8.8
Q3,100014035,5/26/1987,1109,4.58,22,7.06,65.1,7.1,138,0.49,6.08,0.63,2.07,2.96,114,-9999,1.24,4.84,-9999,-9999,23.9,-9999,7.05
Q3,100014036,6/2/1987,1036,4.52,23,7.53,79.6,8.4,132,0.45,7.34,0.7,2.68,3.56,77,-9999,0.69,5.76,-9999,-9999,29.4,-9999,4.45
Q3,100014037,6/9/1987,1150,4.48,23,7.15,81.2,8.4,164,-9999,7.67,0.69,2.92,3.61,92,-9999,0.39,7.08,-9999,-9999,30.5,-9999,4.45
Q3,100014038,6/16/1987,1106,4.49,23,7.43,72,7.4,180,-9999,6.22,0.61,2.32,3.48,90,-9999,1.15,5.59,-9999,-9999,25.3,-9999,6.9
Q3,100014039,6/23/1987,1021,4.6,23,7.44,67.7,7.3,133,-9999,6.07,0.63,2,3.35,101,-9999,0.96,5.43,-9999,-9999,24.2,-9999,7.3
Q3,100014041,6/30/1987,1022,4.5,23,7.43,74.4,8.1,160,0.49,7.16,0.66,2.65,3.5,196,-9999,0.93,7,-9999,-9999,27.9,-9999,5.4
Q3,100014042,7/7/1987,1009,4.52,23,7.38,78.4,8.1,184,0.87,7.27,0.66,2.54,4.23,103,-9999,1.21,7.16,-9999,-9999,27.9,-9999,7.6
Q3,100014043,7/14/1987,1010,4.46,23,7.36,85.1,8.5,180,0.45,7.78,0.68,2.87,3.92,20,-9999,1.39,8.01,-9999,-9999,30.5,-9999,4.93
Q3,100014044,7/21/1987,1016,4.54,23,7.38,77,8.1,204,-9999,7.18,0.67,2.65,3.17,21,-9999,2.44,5.61,-9999,-9999,27.2,-9999,28.5
Q3,100014045,7/28/1987,1046,4.46,23,7.15,85.4,8.1,240,0.54,7.52,0.69,1.01,3.77,28,-9999,-9999,7.16,-9999,-9999,29.4,-9999,5.4
Q3,100014046,8/4/1987,910,4.42,23,7.25,84,8.3,-9999,0.38,7.68,0.73,3.09,3.54,18,-9999,-9999,-9999,-9999,-9999,29.4,-9999,5.15
Q3,100014047,8/11/1987,747,4.42,23,7.19,89.4,6.5,217,0.56,8.01,0.71,2.95,4.76,31,-9999,-9999,5.9,-9999,-9999,31.2,-9999,4.2
Q3,100014048,8/18/1987,1015,4.42,21,7.23,84.2,8.1,209,-9999,7.78,0.7,3.08,4.12,29,-9999,-9999,6.5,-9999,-9999,30.9,-9999,2.9
Q3,100014049,8/25/1987,915,4.42,23,7.25,81.8,8.5,219,-9999,7.58,0.73,2.99,3.93,21,-9999,-9999,6.79,-9999,-9999,30.4,-9999,4.9
Q3,100014050,9/1/1987,943,4.44,23,7.18,74.6,7.8,199,-9999,6.9,0.69,2.73,3.46,19,-9999,-9999,7.65,-9999,-9999,26.7,-9999,4.3
Q3,100014051,9/8/1987,1120,4.42,23,7.06,84,8.3,227,0.56,7.63,0.69,3.14,3.97,23,-9999,-9999,7.34,-9999,-9999,30,-9999,3.65
Q3,100014052,9/15/1987,1030,4.44,23,7.17,77.5,8.1,217,-9999,7.24,0.69,2.96,3.73,5.4,-9999,-9999,6.77,-9999,-9999,29.1,-9999,2.7
Q3,100014053,9/22/1987,1014,4.46,23,7.12,80.3,8.2,279,-9999,7.57,0.7,2.89,3.94,2.5,-9999,-9999,7.49,-9999,-9999,29.1,-9999,5.07
Q3,100014054,9/29/1987,1015,4.5,23,7.02,78.9,8.2,356,-9999,7.22,0.71,2.71,3.68,12,-9999,-9999,9.11,-9999,-9999,26.7,-9999,12.67
Q3,100014055,10/6/1987,943,4.42,23.5,7.15,80.6,8.2,222,-9999,7.4,0.75,3.06,3.94,18,-9999,-9999,8.12,-9999,-9999,29.2,-9999,6
Q3,100014056,10/13/1987,1015,4.42,23.5,7.28,84.4,8,270,-9999,7.12,0.7,2.68,3.71,12,-9999,-9999,9.47,-9999,-9999,28.4,-9999,4.7
Q3,100014057,10/22/1987,-9999,4.52,-9999,7.31,95,8.01,204,0.68,6.71,0.69,2.87,3.91,2.5,-9999,-9999,-9999,-9999,-9999,29.2,-9999,3.26
Q3,100014058,10/29/1987,1443,4.44,-9999,-9999,83.6,8.3,224,0.63,6.84,0.69,2.56,3.97,2.5,-9999,-9999,-9999,-9999,-9999,29.2,-9999,8.95
Q3,100014059,11/5/1987,1210,4.46,-9999,7.49,86.9,5.45,240,0.61,6.1,0.68,2.54,3.65,10,-9999,-9999,-9999,-9999,-9999,25,-9999,63
Q3,100014060,11/12/1987,-9999,-9999,-9999,7.4,83.5,5.5,413,0.63,4.65,0.44,2.07,3.67,2.5,-9999,-9999,-9999,-9999,-9999,33.9,-9999,3
Q3,100014061,11/24/1987,1104,4.64,-9999,6.25,53.7,0.05,68,0.6,0.7,0.1,0.39,1.06,7,-9999,-9999,-9999,-9999,-9999,16.4,-9999,9.4
Q3,100014062,11/25/1987,1058,4.8,-9999,7.17,50.2,5.42,160,0.56,3.92,0.52,1.39,2.04,16,-9999,-9999,-9999,-9999,-9999,12.5,-9999,21
Q3,100014063,12/1/1987,1033,4.5,-9999,7.42,67.5,5.4,124,0.56,6.48,0.69,2.44,3.27,6,-9999,-9999,-9999,-9999,-9999,26.6,-9999,5.6
Q3,100014064,12/7/1987,1535,5.02,-9999,7.02,39.6,4.69,172,0.78,3.24,0.51,1.06,1.57,13,-9999,-9999,-9999,-9999,-9999,8.6,-9999,22.3
Q3,100014065,12/8/1987,1110,4.85,-9999,7.12,44.3,4.56,124,-9999,3.88,0.49,1.26,1.75,8,-9999,-9999,-9999,-9999,-9999,13.4,-9999,19.6
Q3,100014066,12/15/1987,1006,4.6,-9999,7.49,64.1,8.2,188,0.57,6.71,0.65,2.35,3.35,8,-9999,-9999,-9999,-9999,-9999,24.8,-9999,31.5
Q3,100014067,12/22/1987,848,4.56,-9999,7.44,75,8.2,170,0.64,6.04,0.68,2.32,3.31,9,-9999,-9999,-9999,-9999,-9999,24.7,-9999,6.87
Q3,100014068,12/29/1987,947,4.5,-9999,7.51,72.6,8.29,187,0.57,6.63,0.66,2.71,3.69,15,-9999,-9999,-9999,-9999,-9999,27.3,-9999,10.7
Q3,100014069,1/5/1988,950,4.52,-9999,7.44,73.2,7.23,142,0.53,7.4,0.68,2.69,3.7,12,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.5
Q3,100014070,1/12/1988,859,4.5,-9999,7.32,71.9,11.56,181,0.6,7.12,0.66,2.55,3.6,9,-9999,-9999,-9999,-9999,-9999,26.6,-9999,7.22
Q3,100014071,1/19/1988,810,4.5,-9999,7.28,72.7,10,157,0.63,6.79,0.66,2.69,3.65,17,-9999,-9999,-9999,-9999,-9999,27.3,-9999,9.5
Q3,100014072,1/26/1988,856,4.42,-9999,7.45,82.4,8.7,157,0.81,7.33,0.72,3.04,4.17,31,-9999,-9999,-9999,-9999,-9999,30.8,-9999,5.23
Q3,100014079,1/29/1988,-9999,-9999,-9999,7.38,65.7,8.75,207,-9999,6.48,0.78,2.24,3.2,52,-9999,-9999,-9999,-9999,-9999,19.7,-9999,-9999
Q3,100014073,1/29/1988,-9999,-9999,-9999,6.06,62.8,-9999,-9999,0.59,-9999,-9999,-9999,-9999,74.8,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
Q3,100014074,1/29/1988,-9999,-9999,-9999,7.09,61.5,9.32,209,0.7,-9999,-9999,-9999,-9999,72.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
Q3,100014075,1/29/1988,-9999,-9999,-9999,7.42,60.3,9.31,141,-9999,6.26,0.82,2.09,2.93,34,-9999,-9999,-9999,-9999,-9999,17.8,-9999,-9999
Q3,100014076,1/29/1988,-9999,-9999,-9999,7.19,58.6,8.87,167,0.92,6.36,0.85,2.13,3.03,24,-9999,-9999,-9999,-9999,-9999,18.4,-9999,-9999
Q3,100014077,1/29/1988,-9999,-9999,-9999,7.33,62.9,9.26,209,0.84,6.4,0.82,2.18,3.19,46.84,-9999,-9999,-9999,-9999,-9999,18.7,-9999,-9999
Q3,100014078,1/29/1988,-9999,-9999,-9999,7.35,64,9.22,183,0.78,6.47,0.72,2.18,3.11,41,-9999,-9999,-9999,-9999,-9999,19.3,-9999,-9999
Q3,100014081,2/2/1988,1140,4.7,-9999,7.04,60.8,10.54,146,0.74,6.15,0.76,1.96,2.93,15,-9999,-9999,-9999,-9999,-9999,14.9,-9999,115
Q3,100014080,2/2/1988,-9999,-9999,-9999,6.99,63.3,11.3,32,0.74,6.59,0.71,2.2,3.11,55,-9999,-9999,-9999,-9999,-9999,18.2,-9999,37.6
Q3,100014083,2/3/1988,814,4.54,-9999,7.19,-9999,9.52,-9999,0.71,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.44
Q3,100014084,2/4/1988,859,4.48,-9999,6.99,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.25
Q3,100014082,2/9/1988,1303,4.52,-9999,7.27,87.3,-9999,170,-9999,7.51,0.71,3.71,2.71,25.9,-9999,-9999,-9999,-9999,-9999,25.5,-9999,19
Q3,100014085,2/10/1988,819,4.44,-9999,7.45,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.51
Q3,100014086,2/16/1988,819,4.44,-9999,7.28,86.8,8.72,146,-9999,7.14,0.68,2.65,3.84,16.2,-9999,-9999,-9999,-9999,-9999,25.8,-9999,2.48
Q3,100014087,2/23/1988,827,4.44,-9999,7.29,88.3,8.76,204,0.65,7.15,0.68,3.01,3.85,22.7,-9999,-9999,-9999,-9999,-9999,29,-9999,5.57
Q3,100014088,3/1/1988,1025,4.43,-9999,7.48,91.2,9.3,196,0.73,7.07,0.67,3.02,3.91,15.2,-9999,-9999,-9999,-9999,-9999,29.9,-9999,6.19
Q3,100014089,3/8/1988,1000,4.43,-9999,7.49,89.2,7.54,196,0.59,7.76,0.56,3,3.11,32,-9999,-9999,-9999,-9999,-9999,31.3,-9999,5.11
Q3,100014090,3/15/1988,846,4.4,-9999,7.42,93.4,9.03,215,-9999,7.57,0.11,1.65,3.73,13,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.4
Q3,100014091,3/23/1988,822,4.38,-9999,7.38,-9999,8.65,219,0.68,7.94,0.62,2.99,3.81,25,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.22
Q3,100014092,3/29/1988,-9999,-9999,-9999,7.25,59.1,9.32,200,0.8,5.45,0.59,1.78,2.49,31,-9999,-9999,-9999,-9999,-9999,14.1,-9999,27.3
Q3,100014093,4/5/1988,948,4.38,-9999,7.42,89.1,8.82,207,0.67,7.53,0.63,2.93,3.71,21,-9999,-9999,-9999,-9999,-9999,30.3,-9999,4.22
Q3,100014094,4/12/1988,-9999,-9999,-9999,7.36,88.3,8.78,210,0.63,7.94,0.61,2.83,3.71,19,-9999,-9999,-9999,0.11,-9999,-9999,0.01,5.69
