Sample_ID,Code,Sample_Date,Sample_Time,Gage_Ht,Temp,pH,Cond,Cl,NO3,SO4-S,Na,K,Mg,Ca,NH4-N,PO4-P,DOC,DIC,TDN,TDP,SiO2,DON,TSS
QG,20929,1/25/2000,1235,-9999,20,7.33,52.4,8.25,378,0.35,5.96,0.26,1.16,2.25,2.5,6.65,0.63,-9999,0.45,-9999,19.64,0.07,-9999
QG,20936,2/1/2000,1113,8.62,19,7.34,54.5,8.1,351,0.38,5.92,0.49,1.18,2.55,7.26,6.28,0.92,-9999,0.44,-9999,19.55,0.08,26.66
QG,20944,2/8/2000,1200,8.62,19.5,7.11,55.9,7.71,320,0.37,5.94,0.59,1.34,2.68,2.5,7.06,0.68,-9999,0.44,-9999,22.32,0.12,19.33
QG,20950,2/15/2000,1150,8.62,19.5,7.18,54.7,7.68,282,0.34,5.76,0.43,1.11,2.66,2.5,4.73,0.54,-9999,0.34,-9999,22.05,0.05,7.86
QG,20956,2/22/2000,155,8.68,19.5,6.89,48.7,7.52,467,0.52,5.14,0.54,1.23,2.15,5.38,4.84,1.52,-9999,0.6,-9999,14.08,0.13,41.33
QG,20960,2/29/2000,230,8.6,18.5,7.04,53.4,8.08,319,0.39,5.75,0.54,1.06,2.75,2.5,2,0.81,-9999,0.43,-9999,20.56,0.11,15.69
QG,20979,3/7/2000,1245,8.58,19,6.88,53.4,7.73,305,0.35,5.81,0.55,1.13,2.97,2.5,7.11,0.42,-9999,0.35,-9999,21.62,0.04,9.69
QG,20985,3/14/2000,1220,8.56,19.5,7.01,53.8,7.92,304,0.35,6.03,0.78,1.07,2.78,2.5,6.7,0.45,-9999,0.34,-9999,22.7,0.03,9.42
QG,20991,3/21/2000,1215,8.56,19.5,6.89,54.4,7.84,290,0.36,5.98,0.51,1.49,2.72,2.5,6.31,0.54,-9999,0.35,-9999,23.13,0.06,7.4
QG,21033,3/28/2000,1220,8.55,17,7.05,55.5,7.97,268,0.41,6.09,0.61,1.49,2.69,9.87,6.91,1.3,-9999,0.33,-9999,22.22,0.05,40.18
QG,21009,4/4/2000,1230,8.56,18,7.15,55.8,9.2,282,0.44,6.77,0.49,1.07,3.27,2.5,7.51,0.65,-9999,0.32,-9999,23.73,0.03,6.99
QG,21015,4/11/2000,1130,8.54,18,7.13,56,7.98,266,0.37,6.02,0.46,1.02,3.19,2.5,7.14,0.52,-9999,0.28,-9999,21.47,0.01,7.53
QG,21021,4/18/2000,110,8.59,18,6.98,55,8.05,340,0.48,5.78,0.55,1.16,2.72,2.5,6.34,0.74,-9999,0.39,-9999,19.22,0.05,9.4
QG,21027,4/25/2000,1225,8.58,18,6.83,55.9,8.23,288,0.48,6.08,0.34,1.31,3.02,2.5,2,0.99,-9999,0.36,-9999,20.21,0.07,7.39
QG,21039,5/2/2000,1235,8.62,18,6.93,53.9,7.47,298,0.42,5.84,0.59,1.15,2.79,5.01,7.04,0.73,-9999,0.38,-9999,20.73,0.07,5.5
QG,21045,5/9/2000,1220,8.63,19.5,7.13,61.6,7.96,321.5,0.46,5.8,0.56,1.11,3.07,8.07,7.64,0.83,-9999,0.43,-9999,20.22,0.1,7.54
QG,21051,5/16/2000,1134,8.57,20,7.1,51.2,7.84,304,0.42,5.65,0.52,1.15,2.82,5.15,8.64,0.64,-9999,0.35,-9999,19.39,0.04,7
QG,21070,5/23/2000,1220,8.55,20,6.95,55.6,7.83,280,0.38,5.79,0.55,1.15,3.08,2.5,2,0.53,-9999,0.3,-9999,21.69,0.01,5.78
QG,21076,5/30/2000,-9999,-9999,-9999,-9999,-9999,5.47,362,0.56,3.9,0.46,0.78,1.8,6.47,2,2.4,-9999,0.39,-9999,11.75,0.01,25.79
QG,21095,6/6/2000,1215,8.56,21,7.06,54.2,8.05,306,0.42,5.47,0.42,1.02,2.63,2.5,7.66,0.73,-9999,0.35,-9999,20.3,0.04,7.3
QG,21101,6/13/2000,1220,8.62,20.5,7.03,51.7,6.76,318,0.46,5.38,0.61,1.12,2.74,5.86,2,1.16,-9999,0.47,-9999,15.74,0.15,7.35
QG,21107,6/20/2000,1120,8.58,21,7.02,54.5,7.92,302,0.39,5.88,0.51,1.17,3.11,2.5,5.22,0.7,-9999,0.39,-9999,20.51,0.08,6.24
QG,21112,6/27/2000,1145,8.57,21,7.1,54.7,7.92,280,0.4,5.94,0.62,1.21,3.15,2.5,8.76,0.7,-9999,0.32,-9999,21.47,0.04,4.74
QG,21119,7/5/2000,1250,8.57,21.5,7.11,54.3,7.95,289.5,0.41,5.89,0.56,1.14,3.03,2.5,6.77,0.7,-9999,0.36,-9999,20.81,0.07,4.44
