Sample_ID,Code,Sample_Date,Sample_Time,Gage_Ht,Temp,pH,Cond,Cl,NO3,SO4-S,Na,K,Mg,Ca,NH4-N,PO4-P,DOC,DIC,TDN,TDP,SiO2,DON,TSS
QPA,1577,6/6/1989,-9999,-9999,21,6.79,49.4,-9999,26.51,1.88,5.08,0.29,2.14,2.26,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
QPA,1603,6/13/1989,1055,-9999,-9999,7.2,70.5,-9999,53.89,-9999,6.17,0.35,3.35,4.15,-9999,-9999,-9999,-9999,0.35,-9999,-9999,-9999,-9999
QPA,1658,6/20/1989,940,-9999,21.5,6.83,59.3,-9999,31.93,3.8,5.59,0.34,2.77,3.1,-9999,-9999,-9999,-9999,-9999,-9999,17.35,-9999,-9999
QPA,1690,6/27/1989,925,-9999,22,7.07,77,-9999,73.58,0.46,6.55,0.41,3.88,4.67,-9999,-9999,-9999,-9999,-9999,-9999,31.07,-9999,-9999
QPA,1698,7/5/1989,-9999,-9999,-9999,7,65.2,-9999,10,-9999,5.97,0.48,2.91,3.69,-9999,-9999,-9999,-9999,0.31,-9999,13.13,-9999,-9999
QPA,1985,7/11/1989,-9999,-9999,-9999,7.12,69.4,-9999,59,0.42,6.21,0.47,3.27,3.95,-9999,-9999,-9999,-9999,0.11,-9999,40.3,-9999,-9999
QPA,2035,7/18/1989,947,-9999,22,7.15,64.1,-9999,48.15,-9999,6.09,0.46,3,3.65,-9999,-9999,-9999,-9999,0.42,-9999,33.83,-9999,-9999
QPA,2059,7/26/1989,-9999,-9999,-9999,7.19,65,-9999,10,-9999,6.05,0.02,2.84,3.73,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
QPA,2115,8/1/1989,-9999,-9999,-9999,6.82,56.9,-9999,59,-9999,5.52,0.42,2.57,3.26,-9999,-9999,-9999,-9999,0.43,-9999,16.98,-9999,-9999
QPA,2126,8/8/1989,1100,-9999,22,7.23,74.2,-9999,170,-9999,6.54,0.43,3.82,4.14,-9999,-9999,-9999,-9999,-9999,-9999,22.57,-9999,-9999
QPA,2140,8/15/1989,1125,-9999,22,6.88,68.9,-9999,51,-9999,6.33,0.4,3.52,3.97,-9999,-9999,-9999,-9999,-9999,-9999,20.04,-9999,-9999
QPA,2153,8/22/1989,1050,-9999,21.5,6.76,62.3,-9999,43.81,-9999,4.63,0.34,1.94,2.36,-9999,-9999,-9999,-9999,-9999,-9999,12.18,-9999,-9999
QPA,2162,8/29/1989,1005,-9999,21,6.63,49.3,-9999,38.5,-9999,4.61,0.37,2.06,2.87,-9999,-9999,-9999,-9999,0.27,-9999,15,-9999,-9999
QPA,2201,9/5/1989,921,-9999,22,7.11,66.4,-9999,99.43,-9999,5.48,0.36,3.26,3.81,-9999,-9999,-9999,-9999,-9999,-9999,19.74,-9999,-9999
QPA,2213,9/12/1989,920,-9999,21,6.63,72.9,-9999,18.71,0.63,5.16,0.41,2.62,3.42,-9999,2,-9999,-9999,0.26,-9999,16.97,-9999,-9999
QPA,2222,9/26/1989,-9999,-9999,21,6.81,97.4,-9999,2.5,1.2,7.2,1.14,3.07,3.78,-9999,-9999,-9999,-9999,-9999,-9999,15.17,-9999,-9999
QPA,2235,10/3/1989,1200,-9999,22,7.05,62,-9999,2.5,0.6,6.2,0.56,2.69,2.9,-9999,2,-9999,-9999,-9999,-9999,16.48,-9999,-9999
QPA,2250,10/10/1989,1113,-9999,22,7.14,90.2,8.76,80.54,0.46,7.1,0.62,3.74,4.41,-9999,2,-9999,-9999,-9999,-9999,31.3,-9999,-9999
QPA,2258,10/17/1989,1248,-9999,19.5,7.59,116,8.44,155.54,0.76,7.69,0.72,3.94,4.73,-9999,2,-9999,-9999,-9999,-9999,36.82,-9999,-9999
QPA,2269,10/24/1989,-9999,-9999,-9999,6.72,75,7.01,121.76,0.76,6.54,0.73,2.83,3.35,-9999,-9999,-9999,-9999,-9999,-9999,25.43,-9999,-9999
QPA,2302,10/31/1989,1340,-9999,22,7.16,100.1,-9999,356.2,0.83,7.63,0.85,4.06,4.42,-9999,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999
QPA,2312,11/7/1989,-9999,-9999,-9999,-9999,-9999,-9999,420.2,1.03,7.35,0.95,3.79,4.27,-9999,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999
QPA,2329,11/14/1989,1120,-9999,22,7.32,97.5,-9999,627.2,0.93,6.92,0.94,3.64,4.18,-9999,14.71,-9999,-9999,-9999,-9999,-9999,-9999,-9999
QPA,2356,11/21/1989,-9999,-9999,-9999,-9999,-9999,-9999,259,0.56,6.88,0.74,3.87,4.3,-9999,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999
QPA,2371,11/28/1989,1300,-9999,21,7.72,112,8.22,227.7,0.5,5.96,0.7,4.18,5.24,-9999,2,-9999,-9999,-9999,-9999,32.75,-9999,-9999
QPA,2382,12/5/1989,1135,-9999,21,7.74,97,8.42,215,0.5,5.96,0.56,4.36,5.67,-9999,2,-9999,-9999,-9999,-9999,34.15,-9999,-9999
QPA,2393,12/12/1989,1025,-9999,21.5,6.65,78.2,6.92,10,2.93,6.32,0.87,2.63,11.05,-9999,2,-9999,-9999,-9999,-9999,25.44,-9999,-9999
QPA,2421,12/19/1989,1130,-9999,21,6.81,84.1,-9999,247,-9999,6.28,0.52,4.66,6.24,-9999,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999
QPA,2432,12/26/1989,1230,-9999,21,7.3,86.2,-9999,201,-9999,6.2,0.52,4.78,6.36,-9999,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999
QPA,2443,1/2/1990,1110,-9999,21,6.76,60.6,-9999,785,0.53,6.03,0.7,2.21,2.52,-9999,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999
QPA,2454,1/9/1990,1035,-9999,20,7.06,77.9,-9999,258.45,-9999,6.05,0.62,4.47,6.03,-9999,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999
