Sample_ID,Code,Sample_Date,Sample_Time,Gage_Ht,Temp,pH,Cond,Cl,NO3,SO4-S,Na,K,Mg,Ca,NH4-N,PO4-P,DOC,DIC,TDN,TDP,SiO2,DON,TSS
QPB,1578,6/6/1989,-9999,-9999,21,7.09,61.3,-9999,48.2,-9999,5.62,0.35,2.79,3.34,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
QPB,1605,6/13/1989,1108,-9999,-9999,6.92,61.3,-9999,38.91,-9999,5.18,0.29,2.79,3.34,-9999,-9999,-9999,-9999,0.48,-9999,-9999,-9999,-9999
QPB,1659,6/20/1989,945,-9999,21.5,7.03,72.8,-9999,52.64,1.16,6.29,0.43,3.34,4.43,-9999,-9999,-9999,-9999,-9999,-9999,21.77,-9999,-9999
QPB,1691,6/27/1989,932,-9999,22,7.08,64.9,-9999,2.5,0.6,6.05,0.33,3.26,3.17,-9999,-9999,-9999,-9999,-9999,-9999,28,-9999,-9999
QPB,1699,7/5/1989,-9999,-9999,-9999,6.9,53.2,-9999,10,-9999,5.35,0.41,2.27,2.73,-9999,-9999,-9999,-9999,0.31,-9999,8.15,-9999,-9999
QPB,1988,7/11/1989,-9999,-9999,-9999,6.89,57.1,-9999,13,0.28,5.71,0.42,3,3.39,-9999,-9999,-9999,-9999,0.79,-9999,25.69,-9999,-9999
QPB,2036,7/18/1989,941,-9999,21.5,6.68,59.6,-9999,135.19,-9999,6.7,0.36,2.49,2.55,-9999,-9999,-9999,-9999,0.6,-9999,12.67,-9999,-9999
QPB,2054,7/26/1989,-9999,-9999,-9999,6.95,55.7,-9999,8.84,-9999,5.66,0.35,2.46,2.8,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
QPB,2110,8/1/1989,-9999,-9999,-9999,6.78,48.9,-9999,31,-9999,5.06,0.31,2.09,2.61,-9999,-9999,-9999,-9999,0.35,-9999,7.96,-9999,-9999
QPB,2127,8/8/1989,1115,-9999,22,7.27,63.8,-9999,94,-9999,6.13,0.3,3.08,3.24,-9999,-9999,-9999,-9999,-9999,-9999,18.71,-9999,-9999
QPB,2141,8/15/1989,1115,-9999,22,6.62,58.7,-9999,81,-9999,5.74,0.33,2.83,3.02,-9999,-9999,-9999,-9999,-9999,-9999,17.6,-9999,-9999
QPB,2154,8/22/1989,1115,-9999,21.5,7,65.6,-9999,10,-9999,4.77,0.36,2.15,2.75,-9999,-9999,-9999,-9999,-9999,-9999,13.72,-9999,-9999
QPB,2163,8/29/1989,959,-9999,21,6.9,44.7,-9999,68.93,-9999,4.4,0.33,0.15,2.4,-9999,-9999,-9999,-9999,0.14,-9999,13.07,-9999,-9999
QPB,2202,9/5/1989,915,-9999,22,6.56,56.4,-9999,71.99,-9999,5.07,0.36,2.64,2.76,-9999,-9999,-9999,-9999,-9999,-9999,17.58,-9999,-9999
QPB,2214,9/12/1989,926,-9999,21,6.89,59.5,-9999,11.76,0.46,4.57,0.35,2.05,2.67,-9999,-9999,-9999,-9999,0.14,-9999,13.15,-9999,-9999
QPB,2223,9/26/1989,-9999,-9999,21,6.69,74.9,-9999,2.5,0.96,6.11,0.77,2.22,2.61,-9999,-9999,-9999,-9999,-9999,-9999,11.42,-9999,-9999
QPB,2236,10/3/1989,1205,-9999,22,7.01,78,-9999,23.57,0.5,7.05,0.72,3.47,4.16,-9999,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999
QPB,2251,10/10/1989,1103,-9999,22,6.79,76,8.09,61.23,0.5,6.37,0.49,3,3.37,-9999,2,-9999,-9999,-9999,-9999,36.24,-9999,-9999
QPB,2259,10/17/1989,1235,-9999,19.5,7.03,91,8.52,86.7,0.7,6.75,0.59,3.07,3.5,-9999,2,-9999,-9999,-9999,-9999,34.52,-9999,-9999
QPB,2270,10/24/1989,-9999,-9999,-9999,7.23,93,7.28,239.43,0.73,7.47,0.93,3.69,4.54,-9999,-9999,-9999,-9999,-9999,-9999,24.44,-9999,-9999
QPB,2303,10/31/1989,1230,-9999,22,7.2,90.2,-9999,209.1,0.96,7.03,0.76,3.64,3.79,-9999,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999
QPB,2313,11/7/1989,-9999,-9999,-9999,-9999,-9999,-9999,131.1,1.03,6.54,0.81,2.82,3.09,-9999,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999
QPB,2330,11/14/1989,1110,-9999,22,7.55,76,-9999,266.1,-9999,6.15,0.82,2.83,3.13,-9999,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999
QPB,2357,11/21/1989,-9999,-9999,-9999,-9999,-9999,-9999,133.9,0.53,6.11,0.63,2.99,3.09,-9999,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999
QPB,2372,11/28/1989,1250,-9999,21,7.2,86,8.76,143.1,0.53,5.35,0.48,3.29,3.55,-9999,2,-9999,-9999,-9999,-9999,28.64,-9999,-9999
QPB,2383,12/5/1989,1122,-9999,21,7.54,80,8.22,186,0.46,5.29,0.51,3.45,3.88,-9999,2,-9999,-9999,-9999,-9999,28.89,-9999,-9999
QPB,2394,12/12/1989,1035,-9999,21.5,6.75,64.6,7.22,10,0.37,6.17,0.53,4.52,5.87,-9999,2,-9999,-9999,-9999,-9999,24.3,-9999,-9999
QPB,2422,12/19/1989,1135,-9999,21,6.91,69.4,-9999,180,-9999,5.62,0.45,3.81,4.35,-9999,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999
QPB,2433,12/26/1989,1235,-9999,21,7.35,71.9,-9999,171,-9999,5.61,0.44,3.91,4.6,-9999,2,-9999,-9999,-9999,-9999,17.65,-9999,-9999
QPB,2444,1/2/1990,1105,-9999,21,6.76,78.8,-9999,-9999,0.53,5.79,1.01,3.09,3.99,-9999,2,-9999,-9999,-9999,-9999,21.76,-9999,-9999
QPB,2455,1/9/1990,1030,-9999,20,6.98,64,-9999,180.67,-9999,5.54,0.55,3.26,3.75,-9999,2,-9999,-9999,-9999,-9999,12.85,-9999,-9999
QPB,2486,1/16/1990,1125,-9999,21,6.91,64.9,-9999,24.96,0.69,5.45,0.6,3.38,3.94,-9999,2,-9999,-9999,0.42,-9999,-9999,-9999,-9999
QPB,2495,1/23/1990,1110,-9999,20,6.97,56,8.51,37.56,0.79,5.35,0.65,2.69,1.48,-9999,2,-9999,-9999,0.25,-9999,12.65,-9999,-9999
QPB,2510,1/30/1990,1110,-9999,20,6.82,47.8,7.89,172.56,0.34,5.35,0.6,2.75,3.26,-9999,2,-9999,-9999,0.33,-9999,13.73,-9999,-9999
QPB,2542,2/6/1990,1045,-9999,19.5,6.9,87.6,11.29,141.59,0.29,6.6,0.57,2.85,3.52,-9999,2,-9999,-9999,0.64,-9999,11.09,-9999,-9999
QPB,2553,2/13/1990,1045,-9999,20,6.77,77.4,14.66,662.52,0.5,6.04,0.69,3.12,3.49,-9999,2,-9999,-9999,0.37,-9999,9.36,-9999,-9999
QPB,2567,2/20/1990,1235,-9999,20,6.77,60.7,10.07,378.12,0.52,5.05,0.77,2.87,3.25,-9999,2,-9999,-9999,0.19,-9999,8.48,-9999,-9999
QPB,2605,2/27/1990,145,-9999,20,7.1,60.1,9.6,146,0.32,6.03,0.64,2.97,3.48,-9999,2,-9999,-9999,0.03,-9999,8.08,-9999,-9999
QPB,2615,3/6/1990,1100,-9999,20,7.01,77.8,3.61,130,0.28,6.19,0.6,3.12,3.57,-9999,2,-9999,-9999,-9999,-9999,8.59,-9999,-9999
QPB,2626,3/13/1990,1005,-9999,20,6.23,46.1,7.36,291.51,0.74,4.41,1.04,1.09,1.56,-9999,2,-9999,-9999,0.03,-9999,2.29,-9999,-9999
QPB,2662,3/20/1990,1150,-9999,20,6.97,69.2,8.84,135.23,0.58,5.84,0.68,2.84,3.13,-9999,2,-9999,-9999,0.03,-9999,7.78,-9999,-9999
QPB,2673,3/27/1990,-9999,-9999,-9999,-9999,-9999,9.14,278,0.8,5.68,0.8,2.57,3.1,-9999,2,-9999,-9999,-9999,-9999,6.15,-9999,-9999
QPB,2740,4/3/1990,1031,-9999,-9999,7.17,75.6,-9999,169.33,0.58,5.99,0.6,2.98,3.34,-9999,-9999,0.93,-9999,-9999,-9999,-9999,-9999,-9999
QPB,2941,4/10/1990,1059,-9999,21,7.23,81.3,-9999,18.45,0.77,5.41,0.57,3.32,3.56,-9999,2,0.78,-9999,0.5,-9999,-9999,-9999,-9999
