Sample_ID,Code,Sample_Date,Sample_Time,Gage_Ht,Temp,pH,Cond,Cl,NO3,SO4-S,Na,K,Mg,Ca,NH4-N,PO4-P,DOC,DIC,TDN,TDP,SiO2,DON,TSS
QP,2501,1/25/1990,1258,-9999,21,7,57.7,7.59,20.22,0.9,5.31,0.75,2.44,5.13,-9999,2,-9999,-9999,0.86,-9999,17.14,-9999,-9999
QP,2558,2/14/1990,910,-9999,20,6.6,55.8,12.8,459.78,0.38,5.78,1.14,2.06,2.57,-9999,-9999,-9999,-9999,-9999,-9999,3.72,-9999,-9999
QP,3015,4/25/1990,-9999,-9999,-9999,-9999,-9999,-9999,611,-9999,4.06,1.03,1.13,1.49,-9999,2,6.39,-9999,-9999,-9999,-9999,-9999,-9999
QP,3461,6/5/1990,1240,-9999,23,7.16,72.1,8.59,89,0.48,5.65,0.67,3.12,3.55,-9999,2,2.63,-9999,-9999,-9999,-9999,-9999,88.33
QP,3519,7/6/1990,-9999,-9999,-9999,-9999,-9999,6.47,230,0.66,4.55,0.68,1.95,2.66,-9999,2,6.6,-9999,-9999,-9999,4.14,-9999,-9999
QP,15103,6/30/1994,-9999,-9999,-9999,-9999,-9999,-9999,2.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,197.5
QP,20849,10/26/1999,930,-9999,21,7.56,72.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
QP,20854,11/2/1999,940,-9999,21,7.23,65.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
QP,20859,11/9/1999,1030,-9999,22,7.33,74.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
QP,20864,11/16/1999,940,-9999,22,7.72,71.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
QP,20884,11/23/1999,200,-9999,21,7.63,72.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
QP,20889,11/30/1999,1130,-9999,21,7.45,71.8,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
