Sample_ID,Code,Sample_Date,Sample_Time,Gage_Ht,Temp,pH,Cond,Cl,NO3,SO4-S,Na,K,Mg,Ca,NH4-N,PO4-P,DOC,DIC,TDN,TDP,SiO2,DON,TSS
QS,100010001,1/6/1983,-9999,3.9,-9999,7.15,37.8,4.9,40,1.66,3.9,0.22,1.24,1.76,5.1,-9999,-9999,-9999,-9999,-9999,3.4,-9999,-9999
QS,100010002,6/3/1983,-9999,2.54,-9999,7.63,52.8,6,64,0.97,4.96,0.23,1.97,2.76,6.7,-9999,-9999,-9999,-9999,-9999,7.8,-9999,0.6
QS,100010003,6/8/1983,-9999,2.66,-9999,7.51,48.8,5.8,40,1.34,4.61,0.26,1.71,2.44,15.2,-9999,-9999,-9999,-9999,-9999,7.6,-9999,0.2
QS,100010004,6/13/1983,923,2.55,21,7.66,55.1,6,70,1.26,4.92,0.28,1.9,2.68,27.3,-9999,-9999,-9999,-9999,-9999,9.2,-9999,3.6
QS,100010005,6/16/1983,915,4.5,21.7,6.96,34.2,4.2,40,0.51,3.22,0.23,-9999,1.09,32,-9999,5.26,-9999,-9999,-9999,0.5,-9999,10.8
QS,100010006,6/20/1983,1127,2.74,21,7.54,47,6,42,0.8,4.66,0.23,1.74,2.11,13.8,-9999,-9999,-9999,-9999,-9999,10.8,-9999,0.9
QS,100010007,6/27/1983,1220,2.94,22,7.84,58,6.2,44,0.05,4.71,0.26,1.69,2.47,18.2,-9999,-9999,-9999,-9999,-9999,11.2,-9999,2.2
QS,100010008,7/5/1983,1235,4.08,21,8.17,36.8,5.1,33,0.84,3.35,0.23,1.13,1.49,15.2,-9999,3.04,0.9,-9999,-9999,4.6,-9999,6.1
QS,100010009,7/11/1983,915,2.76,21,7.93,48.2,6.6,51,0.54,4.81,0.24,1.69,2.39,13.1,-9999,1.1,2.85,-9999,-9999,12.4,-9999,0.1
QS,100010010,7/21/1983,1020,2.72,-9999,8.04,55,6.3,36,1.53,3.56,0.25,1.62,2.31,14.6,-9999,1.93,2.25,-9999,-9999,10.1,-9999,0.1
QS,100010011,7/26/1983,905,2.59,21.9,8,55,6.4,49,0.84,4.8,0.26,1.85,2.44,-9999,-9999,1.53,2.25,-9999,-9999,11.8,-9999,0
QS,100010012,8/1/1983,945,3.39,21,8.23,49.9,6,110,0.67,4.37,0.26,1.54,2.23,48.7,-9999,1.64,2.25,-9999,-9999,11.1,-9999,2.3
QS,100010013,8/8/1983,910,2.6,21,8.05,48,6.3,51,0.98,4.72,0.26,1.91,2.54,20.6,-9999,1.68,3.92,-9999,-9999,12.1,-9999,1
QS,100010014,8/15/1983,855,2.52,21.8,8.39,59.2,6.4,54,0.85,4.87,0.25,1.79,2.78,21.3,-9999,1.31,3.07,-9999,-9999,12.6,-9999,0.9
QS,100010015,8/18/1983,930,3,21.5,7.44,45,5.5,35,-9999,3.99,0.24,1.38,2.1,13.2,-9999,-9999,2.3,-9999,-9999,8.6,-9999,2.3
QS,100010016,8/22/1983,920,4.05,21.2,7.71,40.5,5.1,37,0.5,3.65,0.18,1.18,1.7,30,-9999,2.82,1.5,-9999,-9999,7.2,-9999,3.6
QS,100010017,8/29/1983,910,3.6,21,8.04,40,4.3,28,0.46,3.69,0.18,1.24,1.63,18.5,-9999,3.06,1.33,-9999,-9999,7.7,-9999,4.8
QS,100010018,9/6/1983,855,2.63,21.2,7.97,56,6,56,1.42,4.79,0.24,1.89,2.78,9.9,-9999,2.99,2.53,-9999,-9999,12.4,-9999,1.1
QS,100010019,9/12/1983,850,2.9,21.9,7.83,57,6,55,-9999,4.72,0.25,2.1,2.48,10,-9999,1.71,2.2,-9999,-9999,11.8,-9999,1.96
QS,100010020,9/19/1983,900,2.94,21.9,7.81,52,5.8,57,1.04,4.35,0.24,1.64,2.3,12.3,-9999,2.79,2.13,-9999,-9999,9.7,-9999,2.3
QS,100010021,9/26/1983,920,2.76,21,7.87,50.1,6.7,40,-9999,4.29,0.23,1.74,2.31,8.6,-9999,2.53,2.2,-9999,-9999,10,-9999,1.02
QS,100010022,10/3/1983,840,2.56,21,8.64,46,7.2,65,0.76,4.55,0.25,1.93,2.58,6.8,-9999,1.65,2.56,-9999,-9999,11.8,-9999,1.18
QS,100010023,10/10/1983,920,2.76,21,8.16,49,6.7,50,0.64,4.25,0.24,1.61,2.3,2.5,-9999,-9999,1.84,-9999,-9999,10.2,-9999,1.02
QS,100010024,10/17/1983,858,3.86,21,7.87,47,6.3,41,0.86,4.21,0.26,1.61,2.29,25.7,-9999,3.74,1.92,-9999,-9999,9.7,-9999,8.37
QS,100010025,10/24/1983,910,2.58,21,7.7,55,7,70,0.9,4.67,0.26,1.89,2.69,10.7,-9999,1.44,2.85,-9999,-9999,12.6,-9999,0.62
QS,100010026,10/31/1983,845,3.3,21,8.28,35,5.4,37,0.65,3.63,0.24,1.2,1.76,9.5,-9999,3.33,1.4,-9999,-9999,-9999,-9999,3.53
QS,100010027,11/7/1983,931,2.92,21,7.72,43,6.2,47,0.67,4,0.27,1.49,2.17,9.5,-9999,2.02,2.07,-9999,-9999,10.1,-9999,1.19
QS,100010028,11/14/1983,1005,2.56,20.9,8.03,57,7.5,76,-9999,4.86,0.24,1.64,-9999,2.5,-9999,1.07,2.6,-9999,-9999,13.6,-9999,0.63
QS,100010029,11/21/1983,955,2.46,21,7.95,57,7.5,85,0.8,5.03,0.27,1.86,3.01,2.5,-9999,1.36,2.87,-9999,-9999,14.1,-9999,0
QS,100010030,11/28/1983,953,2.42,20.9,8.05,61,7.6,77,1.05,5,0.26,2.27,2.99,2.5,-9999,1.64,2.06,-9999,3.2,13.8,-9999,0.41
QS,100010031,12/5/1983,940,3.1,20.5,7.73,48,6.9,60,0.76,4.36,0.26,1.93,2.23,17.8,-9999,1.92,2.39,-9999,3.6,12.1,-9999,0.88
QS,100010032,12/12/1983,947,3.3,20,8.14,46,6.6,41,1.54,4.03,0.26,1.69,2.21,7.4,-9999,2.79,2.5,-9999,1.5,9.2,-9999,1.33
QS,100010033,12/19/1983,1012,3.41,21,7.41,47.1,7.2,45,0.95,4.06,0.28,1.69,2.43,19.9,-9999,2.83,2.3,-9999,1.1,8.4,-9999,1.46
QS,100010034,12/27/1983,1105,3.16,21,7.64,55,6.9,58,0.85,4.48,0.26,1.51,2.67,2.5,-9999,1.48,2.87,-9999,1.5,12,-9999,1.04
QS,100010035,1/3/1984,950,3,18.8,7.46,51,6.9,57,1.23,4.48,0.25,1.74,2.47,11.8,-9999,1.98,1.41,-9999,3.9,11.3,-9999,0.62
QS,100010036,1/9/1984,950,2.92,21,7.72,56,7.1,69,1.09,4.75,0.29,2.19,2.83,2.5,-9999,1.75,2.47,-9999,5.5,12.5,-9999,1.06
QS,100010037,1/16/1984,930,3.75,20,7.78,43.5,6.5,33,-9999,3.89,0.21,1.52,1.92,2.5,-9999,3.19,1.34,-9999,1.5,7.2,-9999,3.35
QS,100010039,1/19/1984,-9999,3.28,19.5,7.16,45,7.2,44,-9999,4.3,0.23,1.46,2.47,11.9,-9999,1.6,2,-9999,-9999,9.7,-9999,-9999
QS,100010042,1/19/1984,-9999,3.36,19.5,7.73,50,7.4,44,-9999,4.37,0.24,1.53,2.49,2.5,-9999,1.73,2,-9999,-9999,10,-9999,-9999
QS,100010040,1/19/1984,-9999,3.28,20,7.43,47,7.2,45,-9999,4.26,0.23,1.49,2.56,2.5,-9999,1.67,2.13,-9999,-9999,9.9,-9999,-9999
QS,100010038,1/19/1984,920,3.32,19.5,7.54,45,7.2,45,-9999,4.3,0.23,1.43,2.42,8.2,-9999,1.91,2,-9999,-9999,9.6,-9999,-9999
QS,100010041,1/19/1984,-9999,3.28,19.5,7.8,46,7.3,45,-9999,4.35,0.25,1.51,2.47,2.5,-9999,1.58,2.07,-9999,-9999,10,-9999,-9999
QS,100010043,1/20/1984,-9999,3.76,19,7.44,47,7.4,46,-9999,4.16,0.25,1.42,2.42,2.5,-9999,1.87,1.74,-9999,-9999,9.6,-9999,-9999
QS,100010044,1/20/1984,-9999,3.66,19,7.54,49.5,7.6,43,-9999,4.21,0.23,1.41,2.31,2.5,-9999,1.53,1.47,-9999,-9999,9.1,-9999,-9999
QS,100010045,1/20/1984,-9999,3.54,19,7.75,47,7.7,44,-9999,4.4,0.27,1.44,2.58,8.6,-9999,2.02,1.54,-9999,-9999,9.1,-9999,-9999
QS,100010046,1/20/1984,-9999,3.47,19.5,7.45,50,7.7,42,-9999,4.2,0.23,1.45,2.51,5.4,-9999,2.27,1.6,-9999,-9999,9.2,-9999,-9999
QS,100010047,1/23/1984,-9999,4.37,17.9,7.2,44,7.6,42,-9999,4.43,0.26,1.38,2.35,11.5,-9999,2.56,2.07,-9999,1.8,9.5,-9999,15.2
