Sample_ID,Code,Sample_Date,Sample_Time,Gage_Ht,Temp,pH,Cond,Cl,NO3,SO4-S,Na,K,Mg,Ca,NH4-N,PO4-P,DOC,DIC,TDN,TDP,SiO2,DON,TSS
RI,100030001,5/24/1983,-9999,1.04,-9999,6.67,37.5,3.5,60,-9999,3.38,0.41,0.76,1.65,7.5,-9999,-9999,-9999,-9999,-9999,2,-9999,-9999
RI,100030002,6/3/1983,-9999,1.04,-9999,7.01,65.7,5.3,75,-9999,5.68,0.56,1.62,3.93,2.5,-9999,-9999,-9999,-9999,-9999,14.8,-9999,1.2
RI,100030003,6/8/1983,-9999,1.05,-9999,6.93,63.2,5.4,80,-9999,5.44,0.57,1.6,-9999,10.8,-9999,-9999,-9999,-9999,-9999,9.9,-9999,1
RI,100030004,6/13/1983,-9999,-9999,20.9,7.01,56.8,5.3,80,-9999,5.26,0.55,1.25,-9999,12.4,-9999,-9999,-9999,-9999,-9999,14.6,-9999,12.8
RI,100030005,6/16/1983,-9999,2.1,21,6.12,26,3.4,85,-9999,2.74,0.43,0.44,1.01,39.2,-9999,-9999,-9999,-9999,-9999,0.3,-9999,226
RI,100030006,6/20/1983,-9999,1.08,20,6.72,59.9,5.5,81,-9999,5.29,0.55,1.56,3.53,20.6,-9999,-9999,-9999,-9999,-9999,13.7,-9999,1.6
RI,100030007,6/27/1983,-9999,1.17,22,7.05,60,5.5,82,-9999,5.54,0.61,1.69,3.82,19.1,-9999,1.49,-9999,-9999,-9999,20,-9999,20.8
RI,100030008,7/5/1983,-9999,1.26,20.5,7.12,43,4.7,72,-9999,3.87,0.45,0.95,2.24,28.4,-9999,3.29,1.5,-9999,-9999,8.7,-9999,9
RI,100030009,7/11/1983,-9999,1.1,21,7.03,52.1,5.5,69,-9999,5.51,0.51,1.59,3.59,16.5,-9999,0.6,5.5,-9999,-9999,21.4,-9999,0.7
RI,100030010,7/21/1983,-9999,1.08,-9999,7.14,61,5.7,67,-9999,5.51,0.54,1.53,3.78,18.9,-9999,0.89,5.15,-9999,-9999,21.5,-9999,1.8
RI,100030011,7/26/1983,-9999,1.06,21,7.16,63.5,5.7,70,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.65,5.95,-9999,-9999,22.1,-9999,0.9
RI,100030012,8/1/1983,-9999,1.4,21,7.02,50,5.4,73,-9999,4.74,0.5,1.16,3.04,25.3,-9999,2.99,3.9,-9999,-9999,6.9,-9999,36.9
