Sample_ID,Code,Sample_Date,Sample_Time,Gage_Ht,Temp,pH,Cond,Cl,NO3,SO4-S,Na,K,Mg,Ca,NH4-N,PO4-P,DOC,DIC,TDN,TDP,SiO2,DON,TSS
MG,19335000,9/29/1997,-9999,-9999,-9999,-9999,-9999,8.45,113.86,1.27,7.75,0.87,2.42,9.9,5.58,10.84,1.32,-9999,0.25,-9999,21.24,0.13,-9999
MG,19339000,9/30/1997,-9999,-9999,-9999,-9999,-9999,8.38,100.09,1.22,7.52,0.9,2.27,9.04,12.83,11.32,1.67,-9999,0.33,-9999,21.44,0.22,-9999
MG,19346000,10/7/1997,-9999,-9999,-9999,-9999,-9999,9.8,106.74,1.39,10.48,0.91,3.38,11.21,2.5,9.89,0.94,-9999,0.19,-9999,24.26,0.08,-9999
MG,19390000,10/14/1997,-9999,-9999,-9999,-9999,-9999,6.48,232,1.03,5.48,0.79,1.48,6.1,23.84,16.98,2.33,-9999,0.35,-9999,12.02,0.09,-9999
MG,19355000,10/21/1997,-9999,-9999,-9999,-9999,-9999,9.69,123.91,1.3,8.71,0.83,3.08,8.95,5.51,11.14,0.87,-9999,0.22,-9999,25.19,0.09,-9999
MG,19366000,10/29/1997,-9999,-9999,-9999,-9999,-9999,11.39,94.99,1.46,-9999,-9999,-9999,-9999,7.65,11.39,1.15,-9999,0.21,-9999,26.38,0.11,-9999
MG,19368000,11/5/1997,-9999,-9999,-9999,-9999,-9999,-9999,125.39,-9999,-9999,-9999,-9999,-9999,14.43,11.69,1.58,-9999,0.27,-9999,24.81,0.13,-9999
MG,19375000,11/10/1997,-9999,-9999,-9999,-9999,-9999,6.6,217.33,1.01,6.31,0.87,1.5,5.71,13.59,12.65,3.42,-9999,0.38,-9999,9.57,0.15,-9999
MG,19989000,11/18/1997,-9999,-9999,-9999,-9999,-9999,7.93,122.29,1.12,7.02,0.73,2.31,8.84,5.37,17.53,1.58,-9999,0.36,-9999,17.63,0.23,-9999
MG,19984000,11/25/1997,-9999,-9999,-9999,-9999,-9999,9.88,152.63,1.17,8.24,0.88,2.7,7.98,12.09,11.11,1.97,-9999,0.61,-9999,20.82,0.44,-9999
MG,19993000,12/2/1997,-9999,-9999,-9999,-9999,-9999,9.49,174.53,1.22,9.01,0.81,2.96,7.15,9.76,6.23,1.02,-9999,0.5,-9999,22.84,0.31,-9999
MG,20003000,12/9/1997,-9999,-9999,-9999,-9999,-9999,10.12,145.33,1.2,9.35,0.8,3.32,7.72,5.72,5.39,0.68,-9999,0.29,-9999,26.43,0.14,-9999
MG,19967000,12/16/1997,-9999,-9999,-9999,-9999,-9999,10.62,110.4,1.27,9.49,0.79,3.31,6.91,7.09,2,1.68,-9999,0.36,-9999,26.16,0.24,-9999
MG,20323000,12/23/1997,-9999,-9999,-9999,-9999,-9999,9.77,137,1.28,8.36,0.78,3.08,9.36,9.13,11.36,1.05,-9999,0.33,-9999,25.02,0.18,-9999
MG,20326000,12/30/1997,-9999,-9999,-9999,-9999,-9999,10.98,121.5,1.4,9.35,0.81,3.65,10.13,6.89,6.18,0.84,-9999,0.27,-9999,27.64,0.14,-9999
MG,20535000,1/7/1998,-9999,-9999,-9999,-9999,-9999,6.97,52,1.01,5,0.8,1.36,4.34,22.61,15.02,2.46,-9999,0.42,-9999,9.2,0.35,-9999
MG,20540000,1/13/1998,-9999,-9999,-9999,-9999,-9999,9.23,2.5,1.22,7.42,0.69,2.66,7.5,5.3,9.75,0.8,-9999,0.21,-9999,23.19,0.2,-9999
MG,20548000,1/21/1998,-9999,-9999,-9999,-9999,-9999,12.45,2.5,1.39,9.59,0.86,3.36,7.43,2.5,6.35,0.87,-9999,0.19,-9999,26.13,0.19,-9999
MG,20558000,1/27/1998,-9999,-9999,-9999,-9999,-9999,11.01,101,1.32,9.4,0.79,3.6,8.69,11.05,7.37,1.07,-9999,0.16,-9999,27.42,0.05,-9999
MG,20567000,2/3/1998,-9999,-9999,-9999,-9999,-9999,10.46,95,1.34,9.13,0.75,3.54,6.62,7.71,2,0.89,-9999,0.13,-9999,27.42,0.02,-9999
MG,20575000,2/10/1998,-9999,-9999,-9999,-9999,-9999,9.4,175,1.37,7.95,0.84,3.04,6.64,8.73,7.8,1.72,-9999,0.24,-9999,21.69,0.06,-9999
MG,20586000,2/17/1998,-9999,-9999,-9999,-9999,-9999,11.41,101,1.4,9.2,0.82,3.53,9.45,7.56,5.67,1.09,-9999,0.14,-9999,25.04,0.03,-9999
MG,20593000,2/24/1998,-9999,-9999,-9999,-9999,-9999,10.68,84,1.42,9.58,0.87,3.91,12.1,8.51,7.93,1.14,-9999,0.12,-9999,27.52,0.03,-9999
MG,20808000,3/3/1998,-9999,-9999,-9999,-9999,-9999,10.58,79,1.4,9.82,0.52,3.84,6.74,2.5,2,0.73,-9999,0.11,-9999,28.38,0.02,-9999
MG,20815000,3/10/1998,-9999,-9999,-9999,-9999,-9999,-9999,213,-9999,-9999,-9999,-9999,10.89,7.68,2,1.03,-9999,0.3,-9999,22.37,0.08,-9999
MG,20828000,3/17/1998,-9999,-9999,-9999,-9999,-9999,10.78,119,1.62,9.19,-9999,-9999,-9999,2.5,2,0.94,-9999,0.19,-9999,24.01,0.07,-9999
MG,20844000,3/24/1998,-9999,-9999,-9999,-9999,-9999,11.23,107,1.49,8.41,-9999,-9999,-9999,6.71,2,1.27,-9999,0.22,-9999,22.03,0.1,-9999
MG,20834000,3/31/1998,-9999,-9999,-9999,-9999,-9999,-9999,161.62,-9999,6.37,-9999,-9999,-9999,12.73,2,2.22,-9999,0.35,-9999,16.04,0.18,-9999
MG,20766000,4/7/1998,-9999,-9999,-9999,-9999,-9999,-9999,156.72,-9999,-9999,-9999,-9999,-9999,80.89,19.97,1.01,-9999,0.2,-9999,25.12,0.01,-9999
MG,20769000,4/14/1998,-9999,-9999,-9999,-9999,-9999,24.87,137,2.06,15.73,1.08,3.92,8.87,8.29,5.43,1.61,-9999,0.18,-9999,20.87,0.03,-9999
MG,20779000,4/21/1998,-9999,-9999,-9999,-9999,-9999,-9999,166,1.77,14.47,0.81,3.94,8.08,11.18,6.47,1.42,-9999,0.27,-9999,18.07,0.09,-9999
MG,20790000,4/28/1998,-9999,-9999,-9999,-9999,-9999,9.91,96,1.26,7.95,0.49,2.65,6.54,5.15,2,1.19,-9999,0.17,-9999,23.13,0.06,-9999
MG,20686000,5/5/1998,-9999,-9999,-9999,-9999,-9999,8.07,104,1.1,6.47,0.58,2.18,6.39,2.5,2,1.99,-9999,0.16,-9999,17.96,0.05,-9999
MG,20702000,5/12/1998,-9999,-9999,-9999,-9999,-9999,15.73,70,1.6,11.47,0.79,3.31,7.81,6.35,2,0.76,-9999,0.11,-9999,24.63,0.03,-9999
MG,20711000,5/19/1998,-9999,-9999,-9999,-9999,-9999,9.15,73,1.31,7.71,0.71,2.64,8.81,6.78,2,0.78,-9999,0.13,-9999,24.03,0.05,-9999
MG,20727000,5/26/1998,-9999,-9999,-9999,-9999,-9999,26.08,127,1.78,15.7,1.3,2.91,6.77,20.76,14.93,3.43,-9999,0.39,-9999,14.07,0.24,-9999
MG,20736000,6/2/1998,-9999,-9999,-9999,-9999,-9999,9.92,186,1.36,7.66,0.86,2.83,7.95,9.47,7.85,1.1,-9999,0.29,-9999,21.44,0.09,-9999
MG,20737000,6/9/1998,-9999,-9999,-9999,-9999,-9999,9.68,98,1.23,7.8,0.81,2.95,8.65,10.18,2,1.38,-9999,0.27,-9999,24.35,0.16,-9999
MG,20742000,6/23/1998,-9999,-9999,-9999,-9999,-9999,10.6,90,1.36,8.53,0.84,3.36,12.7,6.33,2,1.04,-9999,0.18,-9999,24.73,0.09,-9999
MG,20755000,6/30/1998,-9999,-9999,-9999,-9999,-9999,45.01,62,3.05,28.63,1.45,5.94,17.44,7.26,2,1.1,-9999,0.18,-9999,26.3,0.11,-9999
MG,22545000,7/7/1998,-9999,-9999,-9999,-9999,-9999,13,119,1.6,9.79,0.92,3.31,8.1,9.08,2,1.82,-9999,0.25,-9999,23.22,0.12,-9999
MG,22500000,7/7/1998,-9999,-9999,-9999,-9999,-9999,12.09,59,1.38,9.18,1.29,3.49,12.61,9.02,2,1.07,-9999,0.24,-9999,25.79,0.17,-9999
MG,22501000,7/7/1998,-9999,-9999,-9999,-9999,-9999,12.18,52,1.41,9.59,1.44,3.68,15.42,5.8,12.73,1.92,-9999,0.32,-9999,20.87,0.26,-9999
MG,22536000,7/7/1998,-9999,-9999,-9999,-9999,-9999,10.93,5,0.92,8.36,0.83,2.57,6.29,2.5,2,1.41,-9999,0.09,-9999,27.66,0.08,-9999
