Sample_ID,Code,Sample_Date,Sample_Time,Gage_Ht,Temp,pH,Cond,Cl,NO3,SO4-S,Na,K,Mg,Ca,NH4-N,PO4-P,DOC,DIC,TDN,TDP,SiO2,DON,TSS
MPR,1526,5/16/1989,933,1.78,-9999,7.08,108,-9999,69.26,0.37,6.32,0.77,1.92,6.15,-9999,-9999,-9999,-9999,0.35,-9999,22.78,-9999,-9999
MPR,1539,5/23/1989,1005,1.9,-9999,7.45,92.8,-9999,69.37,2.4,6.9,0.72,2.41,7.17,-9999,-9999,-9999,-9999,0.19,-9999,26.4,-9999,5.01
MPR,1570,5/30/1989,1034,2.76,-9999,7.19,68.6,-9999,78.71,1.4,5.55,0.7,1.6,5.19,-9999,-9999,-9999,-9999,0.24,-9999,18.94,-9999,53.33
MPR,1582,6/6/1989,1110,2.42,-9999,7.54,72.6,-9999,85.25,2.81,8.85,0.59,1.69,6.6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.21
MPR,1599,6/13/1989,1000,2.13,-9999,7.34,85,-9999,70.11,-9999,6.52,0.65,2.06,6.66,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.12
MPR,1657,6/20/1989,1010,2.18,-9999,7.67,81.3,-9999,70.86,3.74,6.35,0.66,1.98,7.64,-9999,-9999,-9999,-9999,-9999,-9999,23.05,-9999,5.2
MPR,1687,6/27/1989,957,1.83,-9999,7.47,84.7,-9999,2.5,-9999,6.47,0.7,3.31,7.83,-9999,-9999,-9999,-9999,-9999,-9999,23.23,-9999,11.2
MPR,1697,7/5/1989,-9999,-9999,-9999,6.94,39.2,-9999,10,-9999,3.95,0.62,0.82,3.17,-9999,-9999,-9999,-9999,0.74,-9999,13.55,-9999,-9999
MPR,1986,7/11/1989,1032,1.64,-9999,7.33,76.3,-9999,24.17,0.8,6.36,0.76,1.85,7.94,-9999,-9999,-9999,-9999,0.18,-9999,-9999,-9999,-9999
MPR,2063,7/26/1989,-9999,-9999,-9999,7.17,69.5,-9999,10,-9999,5.84,0.69,1.5,6.95,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
MPR,2113,8/1/1989,1101,2.46,-9999,7.18,76.1,-9999,90,-9999,6.35,0.73,1.66,7.08,-9999,-9999,-9999,-9999,0.43,-9999,28.56,-9999,-9999
MPR,2132,8/8/1989,1120,2.2,-9999,7.03,74.3,-9999,183,-9999,6.15,0.7,1.85,7.4,-9999,-9999,-9999,-9999,-9999,-9999,20.08,-9999,-9999
MPR,2143,8/15/1989,1029,10.46,-9999,6.91,76,-9999,41,-9999,6.25,0.74,1.87,7.43,-9999,-9999,-9999,-9999,-9999,-9999,20.49,-9999,-9999
MPR,2152,8/22/1989,1025,3,-9999,7.31,69.1,-9999,114.45,-9999,4.87,0.61,1.17,5,-9999,-9999,-9999,-9999,-9999,-9999,13.51,-9999,11.2
MPR,2165,8/29/1989,1025,2.38,-9999,6.66,57,-9999,29.07,-9999,4.63,0.56,-9999,4.3,-9999,-9999,-9999,-9999,0.29,-9999,14.52,-9999,5.3
MPR,2209,9/12/1989,1017,2.3,-9999,7.27,79.5,-9999,48.81,1.13,4.91,0.6,1.42,5.61,-9999,2,-9999,-9999,0.33,-9999,13.07,-9999,5.6
MPR,2232,10/3/1989,-9999,-9999,-9999,7.18,82,-9999,79.62,1.26,8.56,1.01,2.84,4.16,-9999,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999
